train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
47138,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47139,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,,,unknown,1111111,summary_parse_failed
47140,Lingampalli Hyderabad MMTS,LPI-HYB,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111100,ok
47141,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47142,Lingampalli Hyderabad MMTS,RCPT-HYB,LINGAMPALLI,HYDERABAD DECCAN,Ramchandrapuram Ts,Hyderabad Decan,MISMATCH,1111111,ok
47149,Falaknuma Lingampalli MMTS,FM LPI LOCAL,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111111,ok
47150,Falaknuma Lingampalli MMTS,SC-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Secunderabad Jn,Lingampalli,match,1111100,ok
47151,Falaknuma Lingampalli MMTS,UR-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Umdanagar,Lingampalli,match,1111111,ok
47153,Falaknuma Lingampalli MMTS,UR-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Umdanagar,Lingampalli,match,1111111,ok
47154,Falaknuma Lingampalli MMTS,UR-TLPR,KACHEGUDA FALAKNUMA,LINGAMPALLI,Umdanagar,Telapur,MISMATCH,1111111,ok
47155,Falaknuma Lingampalli MMTS,FM-RCPT,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Ramchandrapuram Ts,match,1111111,ok
47156,Falaknuma Lingampalli MMTS*,FM-MED,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Medchal,match,1111111,ok
47157,Falaknuma Lingampalli MMTS,FM-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111100,ok
47158,Falaknuma Lingampalli MMTS,FM LPI LOCAL,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111111,ok
47159,Lingampalli Falaknuma MMTS,TLPR-UR,LINGAMPALLI,KACHEGUDA FALAKNUMA,Telapur,Umdanagar,MISMATCH,1111111,ok
47160,Falaknuma Lingampalli MMTS,FM-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111111,ok
47161,Falaknuma Lingampalli MMTS,FM LPI LOCAL,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111111,ok
47162,Falaknuma Lingampalli MMTS,FM LPI LOCAL,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111111,ok
47163,Falaknuma Lingampalli MMTS,UR-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Umdanagar,Lingampalli,match,1111111,ok
47164,Falaknuma Lingampalli MMTS,UR-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Umdanagar,Lingampalli,match,1111100,ok
47165,Falaknuma Lingampalli MMTS,UR-TLPR,KACHEGUDA FALAKNUMA,LINGAMPALLI,Umdanagar,Telapur,MISMATCH,1111111,ok
47166,Falaknuma Lingampalli MMTS,FM-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111100,ok
47168,Secunderabad Lingampalli MMTS,FM SC LOCAL,KACHEGUDA FALAKNUMA,SECUNDERABAD JN,Falaknuma,Secunderabad Jn,match,1111111,ok
47170,Falaknuma Lingampalli MMTS,FM-LPI,KACHEGUDA FALAKNUMA,LINGAMPALLI,Falaknuma,Lingampalli,match,1111100,ok
